Recipe and Tag reference

Available Tags:
0: 	untagged
30: 	FireClayPipeSegment
31: 	MakeTarpTankTop
32: 	MakeGlassJar
33: 	ExtractSteelFromSmallerIronItems
34: 	Forge_Baking_Pan
35: 	SliceHead
36: 	MakePieDough
37: 	MakeLanternGlass
38: 	MakeStake
39: 	MakeTarpChestRig
40: 	ThermalFuel_Charcoal
41: 	MakeBoneHatchet
42: 	Forge_ShortSwordBlade
43: 	Forge_Tongs
44: 	FireClayTile
45: 	SmeltSmallerIronItem
46: 	SawLongStick
47: 	MakeStoneHammer
48: 	Assemble_Shoulder_Armor_Right
49: 	MakeBoneSewingNeedle
50: 	Assemble_Shin_Armor
51: 	CarveDice
52: 	OpenCannedFoodWithKnifeOrSharpStoneFlake
53: 	ScrapAluminumLarge
54: 	TarpHandwrap
55: 	CutUpBelt
56: 	Forge_Straight_Razor
57: 	Forge_Fine_Forks
58: 	Forge_Cup
59: 	Assemble_Forearm_Armor
60: 	SewSandals
61: 	Forge_Roasting_Pan
62: 	MillFlour
63: 	RefillLighter
64: 	CleanBandage
65: 	OpenPackOfBuns
66: 	ForgeMaceHead
67: 	SewLeatherGaiter
68: 	Drill_Steel_Chunk
69: 	MakeAdvancedFramepackFrame
70: 	Cut_Steel_Sheet_Into_Small_Sheets
71: 	Forge_Baking_Tray
72: 	Forge_Fleshing_Tool
73: 	SawIronIngotIntoBlocks
74: 	ExtractIronFromLargeItem
75: 	Forge_Masons_Chisel
76: 	MakeBoneSpoon
77: 	MakeLongStoneBlade
78: 	Forge_Sheep_Shears
79: 	KnitLegwarmers
80: 	AssembleAdvancedLargeFramepack
81: 	MakeBiscuits
82: 	Drill_Iron_Block
83: 	Forge_Silver_Sheet
84: 	WeaveCloth
85: 	CarveFleshingTool
86: 	PutFiltersOnRespirator
87: 	CutHeadSack
88: 	SewLeatherCodpiece
89: 	SawSteelSheetIntoSmallSheets
90: 	SewImprovisedBriefs
91: 	AddCraftedTriggerToBomb
92: 	MakeFliesCureFromLooseTobacco
93: 	EmptySack
94: 	PressIngotMold
95: 	RemakeLongStoneBlade
96: 	put_oxygen_tank
97: 	MakeScrapChopper
98: 	SliceWatermelon
99: 	Forge_Spoons
100: 	SewHeadSack
101: 	MakeGlassBlowingPipe
102: 	SawLargeBranch
103: 	CloseUmbrella
104: 	UntieSheetRope
105: 	Forge_Body_Armor
106: 	Forge_Metalworking_Chisel
107: 	Forge_CoatOfPlates
108: 	MakeScrapMetalMask
109: 	Forge_Gold_Sheets
110: 	Forge_Crowbar
111: 	Forge_Masons_Trowel
112: 	Forge_Saucepan
113: 	CraftMakeshiftRadio
114: 	OpenBox100
115: 	ShortenSocks
116: 	ScrapSackLarge
117: 	MakeThighBulletproofVestArmor
118: 	OpenBottleOfWine
119: 	Make_Stone_Wheel
120: 	MakePizza
121: 	Forge_Corkscrew
122: 	PackCigaretteCarton
123: 	Forge_Ball_Peen_Hammer_Head
124: 	Scrap_Gold_Object
125: 	SawIronBand
126: 	MakeTwigBroom
127: 	CarveCuttingBoards
128: 	MakeAphidsCure
129: 	MakeTarpLongSkirt
130: 	Forge_Small_Steel_Sheet
131: 	CarveKnappingTools
132: 	MakeBoneThighArmor
133: 	Forge_Fine_Scissors
134: 	MakeSawbladeWeapon
135: 	MakeClayJar
136: 	UnstackFourLogs
137: 	MakeScrapMetalShoulderArmor
138: 	MakeCrudeStoneAxe
139: 	MakeFliesCureFromChewingTobacco
140: 	SliceCakeOrPie
141: 	SpikePadding
142: 	Forge_Draw_Plate
143: 	MakeCeramicMortarAndPestle
144: 	MakeWoodCharcoalMedium
145: 	MakeGravy
146: 	UnbundleMoney
147: 	PutJarsInBox
148: 	MakeTireThighArmor
149: 	RippleFlax
150: 	DouseCottonInAlcohol
151: 	SmashSmallHerbivoreSkull
152: 	UnpackBox6
153: 	MakeTarpPoncho
154: 	PackTent
155: 	Drill_Iron_Ingot
156: 	MakeClayPlate
157: 	MakeGlassShiv
158: 	DyeClothes
159: 	Pierce_Block
160: 	MakeMildewCure
161: 	ThreshGrain
162: 	MakeTireShoulderArmorRight
163: 	MakeStoneMaulHead2
164: 	Forge_Garden_Hoe_Head
165: 	Forge_Long_Crude_Blade
166: 	MakeStoneBladeSaw
167: 	OpenCarton12
168: 	MillCornmeal
169: 	FireCeramicCrucible
170: 	Forge_Kettle
171: 	ScoopIceCream
172: 	MakeClayPot
173: 	Scrap_Smallest_Silver_Object
174: 	SawOffShotgun
175: 	DismantleElectronics
176: 	ExtractIronFromSmallItem
177: 	RemoveGasMaskFilter
178: 	DrawRandomCard
179: 	MakeFliesCureFromCigarettes
180: 	SewElbowPads
181: 	OpenBagOfFrozenFood
182: 	MakeFourLogStack
183: 	MeltSand
184: 	MakeSheetMold
185: 	Forge_Frying_Pan
186: 	MeltGlass
187: 	MakeCeramicCrucible
188: 	SawWoodenRod
189: 	ShredTobacco
190: 	MakeTileMold
191: 	FireClayBarMold
192: 	AddACigarette
193: 	MakeNoiseMaker
194: 	SewFurHat
195: 	DisinfectRag
196: 	UntieHeadband
197: 	SmeltMediumIronItem
198: 	MakeScrapMetalThighArmor
199: 	Forge_Coins
200: 	DryWildGarlic
201: 	Forge_Forks
202: 	MakeTortillaChips
203: 	CraftSheetRope
204: 	Make_Stones_from_Large_Stone
205: 	MakeSawbladePlank
206: 	Forge_Precious_Metal_Butter_Knives
207: 	MakeBlankID
208: 	PutEggsInCarton
209: 	MakeTarpBriefs
210: 	MakeBoneHatchetHead
211: 	Forge_File
212: 	Forge_Goblet
213: 	ForgeBarIntoHalves
214: 	FireClayJar
215: 	Get6Biscuits
216: 	TakeACigarette
217: 	CastSteelIngot
218: 	MakeTrapBox
219: 	AssembleMace
220: 	SmashPumpkin
221: 	SewHideJacket
222: 	SawSteelBlockIntoChunks
223: 	SharpenLongBone
224: 	FireClayPot
225: 	UnpackTent
226: 	KnitBalaclavaFull
227: 	OpenWaterRationCanWithKnifeOrSharpStoneFlake
228: 	ExtractIronFromSmallerItems
229: 	MakeSharpFlintFlake
230: 	FixWithWoodGlue
231: 	Forge_Armored_Gloves
232: 	MakeJar
233: 	SewHolsterDouble
234: 	CutUpLeather_Medium
235: 	MakeWoodenIngotCastMold
236: 	ForgeCircularSawbladeIntoHalves
237: 	RipClothing
238: 	MakeFriedOnionRings
239: 	DryGrass
240: 	Cut_Iron_Bar_Halves
241: 	MakeGarbageBagSkirt
242: 	UnstackTwoLogs
243: 	churn_butter
244: 	SawSteelIngotIntoBlocks
245: 	Make_Scrap_Knife
246: 	MakeMilkFromPowderBottle
247: 	MakeFriedShrimp
248: 	SewShirtSleeveless
249: 	MakeImprovisedLantern
250: 	KnitBalaclavaFace
251: 	ScrapSack
252: 	CollectPoppySeeds
253: 	MakeWoodForearmArmor
254: 	MakeSawbladeCudgel
255: 	SewHideSkirtKnees
256: 	MakeTireForearmArmor
257: 	OpenBoxOfBullets50
258: 	Forge_Nails_From_Wire
259: 	Assemble_Simple_Shoulder_Armor
260: 	MakeHollowBook
261: 	SmeltMediumPlusSteelItem
262: 	ForgeLongSpearHead
263: 	Forge_Carpentry_Chisel
264: 	Get6Cookies
265: 	MillSunflowerSeeds
266: 	MakeWoodBodyArmor
267: 	OpenBoxOfWine
268: 	AssembleSpear
269: 	Forge_Tweezers
270: 	MakeMattress
271: 	PressClayShingle
272: 	ExtractSteelFromMediumPlusItem
273: 	SewRagBandana
274: 	MakeGarbageBagBriefs
275: 	CarvePipe
276: 	OpenEggCarton
277: 	DismantleImprovisedLighter
278: 	MakeMilkFromPowderBucket
279: 	CutCircularSawblade
280: 	MakeTarpKneeSkirt
281: 	SewHandwrap
282: 	Forge_Scythe_Head
283: 	Make_Stone_Block_from_Stone
284: 	OpenUmbrella
285: 	MakeWoodThighArmor
286: 	SewDressLong
287: 	MakeTireBodyArmor
288: 	ScrapMetal
289: 	SewLeatherApron
290: 	Forge_Metalworking_Punch
291: 	FireClayIngotMold
292: 	Forge_Crude_Sword_Blade
293: 	UnmakeSheetSlingBag
294: 	CutBlockIntoChunks
295: 	ForgeIronBandIntoQuarters
296: 	LightCandle
297: 	MakeRemoteTrigger
298: 	MakeGuacamole
299: 	CutIronBand
300: 	ExtractIronFromIronOre
301: 	SewCrudeTarpBackpack
302: 	scrap_jewellery
303: 	FireClayTileLarge
304: 	DrySmallLeather
305: 	RollOneDice
306: 	Fire_ClayBlacksmithAnvilMold
307: 	FixWithEpoxy
308: 	MakeStoneAwl
309: 	Forge_Needle
310: 	Forge_Kitchen_Knife_Blade
311: 	MakeAnimalSkullsNecklace
312: 	MakeCabbageRolls
313: 	DismantleShortImplement
314: 	Forge_Pick_Axe_Head
315: 	FixSaw
316: 	MakeSpikedBaseballBat
317: 	SawBarIntoHalves
318: 	InsertPropaneBottleIntoLantern
319: 	ForgeScrapIntoBarQuarter
320: 	MakeScrapMorningstar
321: 	MakeLongBirdSkullsNecklace
322: 	MakePlantainPoultice
323: 	ForgeSpearHead
324: 	MakeChum
325: 	MakeBucketMaul
326: 	KnitDoily
327: 	DryJalapenos
328: 	PackBoxOfWine
329: 	SpinThreadFromWool
330: 	CopyBuildingKey
331: 	PressClayTileManually
332: 	CarveMediumHandlesFromPlank
333: 	CutUpTire
334: 	ExtinguishHurricaneLantern
335: 	SewHideSkirtShort
336: 	MakeCakeBatter
337: 	MakeBirdSkullNecklace
338: 	BreakGlass
339: 	MakeBucketOfClayCementFromGrass
340: 	MakeGarbageBagDress
341: 	Forge_Fine_Butter_Knives
342: 	WeaveBurlap
343: 	Forge_Old_Axe_Head
344: 	Drill_Steel_Block
345: 	OpenPacketOfSeeds
346: 	KnitWoolyHat
347: 	MakeLargeStoneAxeHead
348: 	SawIronBlockIntoChunks
349: 	ExtractIronFromBloom
350: 	Drill_Steel_Ingot
351: 	SewSheepskinVest
352: 	OpenUnlabeledCanWithKnifeOrSharpStoneFlake
353: 	FireGlassBlowingPipe
354: 	CastBlacksmithAnvil
355: 	ForgeBarIntoRod
356: 	MakeStoneBladeScythe
357: 	MakeKnifeFromMacheteBlade
358: 	AssembleSmallFramepack
359: 	Forge_Large_Knife_Blade
360: 	Forge_Precious_Metal_Spoons
361: 	MakeShingleMold
362: 	MakeBonePectoral
363: 	MakeOilPress
364: 	SewFurredHideJacket
365: 	ShortenSkirt
366: 	ConvertIntoFingerlessGloves
367: 	FireClayBowl
368: 	MakeRailspikeWeapon
369: 	SewLeatherVambrace
370: 	AssembleBlade
371: 	MakeRailspikeLongHandle
372: 	SpinThreadFromFlax
373: 	MakeThreeLogStack
374: 	MakeSmokeBomb
375: 	MakeBowlOfOatmeal
376: 	MakeStoneMaulHead
377: 	Forge_Bar_Half
378: 	UnpackSetOfBooks
379: 	AddMotionSensorV2ToBomb
380: 	Forge_Steel_Sheet
381: 	PackBeerBottles
382: 	CastIronBar
383: 	EmptyPan
384: 	Forge_Sword_Blade
385: 	TieRopeBelt
386: 	Forge_Wood_Axe_Head
387: 	MakeWoodShoulderArmor
388: 	Forge_Sledgehammer_Head
389: 	Drill_Draw_Plate
390: 	Forge_Gardening_Trowel
391: 	SmashBottle
392: 	MakeLongAnimalSkullNecklace
393: 	KnitScarf
394: 	SewHideUnderpants
395: 	SmashJawbone
396: 	SewBelt
397: 	CutCircularSawbladeWithBandsaw
398: 	SmeltSmallerSteelItem
399: 	CarveWoodenSpade
400: 	MakeLargeBoneBeads
401: 	MakeMaki
402: 	PutSeedsInPacket
403: 	TarpFootwrap
404: 	HalveFillet
405: 	OpenWaterRationCan
406: 	AddMotionSensorV3ToBomb
407: 	SewHideBoots
408: 	SewKneePads
409: 	SharpenBladePoorlyWithFile
410: 	ExtractSteelFromSmallIronItem
411: 	MakeWireFromBarbedWire
412: 	SewHideBra
413: 	RemoveRespiratorFilters
414: 	SewPouch
415: 	ScutchFibre
416: 	MakeWoodenBoxTrap
417: 	MakeMetalSheet
418: 	MakeLongAnimalSkullsNecklace
419: 	Forge_KeyRing
420: 	MakeDrinkingGlass
421: 	CanReinforceLongWeapon
422: 	KnitBeany
423: 	MakeGarbageBagBandeau
424: 	SewSackGunny
425: 	Forge_Hand_Scythe_Head
426: 	UnpackCigarettes
427: 	SharpenJawbone
428: 	MakeGarbageBagShortSkirt
429: 	MakeShortbreadCookieDough
430: 	Forge_Saw
431: 	Pierce_Ingot
432: 	SewHideBandeau
433: 	MakeBirdSkullsNecklace
434: 	RechargeFilters
435: 	CarveWhistle
436: 	MakeImprovisedLighter
437: 	Forge_Bar
438: 	ExtinguishCandle
439: 	CastSteelIngotFromIron
440: 	OpenDentedUnlabeledCan
441: 	DismantleElectronicsDevice
442: 	DryRoses
443: 	DryThyme
444: 	MakeTireShoulderArmorLeft
445: 	MakeSugarCookieDough
446: 	SawLogs
447: 	MakeGarbageBagHeadSack
448: 	MakeCoke
449: 	DryBroadleafPlantain
450: 	CarveTrowel
451: 	MakeGlassBottle
452: 	BoltBat
453: 	GrindCornflour
454: 	SheetMetalWeapon
455: 	SewSheepskinPants
456: 	MakeSawbladeTableLeg
457: 	WeaveCheeseCloth
458: 	MakeGarbageBagApron
459: 	AddMotionSensorV1ToBomb
460: 	MakeSushi
461: 	CraftMakeshiftHAMRadio
462: 	SliceBread
463: 	RemoveBattery
464: 	MakeGarbageBagPoncho
465: 	SewShellsBandolier
466: 	Place12BoxesInCarton
467: 	SewCrudeLeatherBackpack
468: 	Forge_Gold_Sheet
469: 	SpikePaddingLarge
470: 	SewHideApron
471: 	MakeBucketOfClayCement
472: 	MakePipeBomb
473: 	PlaceInBox
474: 	AddTimerToBomb
475: 	SewLeatherWaterBag
476: 	CutIngotIntoBlocks
477: 	Split_Steel_Sheet_Into_Small_Sheets
478: 	MakePigTusksNecklace
479: 	SliceFillet
480: 	SewDressKnees
481: 	dry_mint
482: 	DryMarigold
483: 	MakeBaguetteDough
484: 	MillCornflour
485: 	Forge_Drill
486: 	Forge_Gorget
487: 	MakeBucketOfWallpaperPaste
488: 	SharpenBone
489: 	Forge_Metal_Mask
490: 	OpenCannedFood2
491: 	OpenUnlabeledCan
492: 	Forge_Crude_Shortsword_Blade
493: 	DismantleBlade
494: 	SlicePizza
495: 	Forge_Hand_Axe_Head
496: 	PlaceRiceInSaucepan2
497: 	MakeAnimalSkullNecklace
498: 	Forge_Fine_Spoons
499: 	MakeMirror
500: 	MakeSawbladeLongHandle
501: 	DryTobacco
502: 	Forge_Hunting_Knife_Blade
503: 	ExtractIronFromIronBloom
504: 	DuctTapeSpear
505: 	SewHolster
506: 	DivideShoulderpads
507: 	MakeComfreyPoultice
508: 	SmashCowSkull
509: 	SetCoffinUpright
510: 	DryHabaneros
511: 	MakeScrapMetalBodyArmor
512: 	CraftMakeshiftWalkieTalkie
513: 	MakeScrapMetalWeapon
514: 	CastSteelBar
515: 	FixWithDuctTape
516: 	Forge_Crude_Blade
517: 	HarvestRoe
518: 	SewHideCoat
519: 	MakeBoneShinArmor
520: 	SewHideSatchel
521: 	MakeForearmMagazineArmor
522: 	Forge_Copper_Sheet
523: 	Make2Bowls
524: 	DryChives
525: 	MakeScrewdriver
526: 	ExtractIronFromMediumPlusItem
527: 	Make_Small_Stone_Wheel
528: 	WireSpear
529: 	MakeGarbageBagKneeSkirt
530: 	Forge_Bucket
531: 	FireClayShingle
532: 	MakeRakeHeadWeapon
533: 	MakeTarpSkirt
534: 	PlaceRiceInCookingPot2
535: 	MakeStickTrap
536: 	Forge_Bar_Quarter_From_Chunk
537: 	AssembleAdvancedFramepack
538: 	SewClothSatchel
539: 	ButcherSmallAnimal
540: 	MakeHalloweenPumpkin
541: 	MakeMeatPatty
542: 	FixFishingRod
543: 	PressClayTile
544: 	OpenJarOfFood
545: 	MakeClayMug
546: 	SewHidePants
547: 	ExtractSteelFromLargeIronItem
548: 	MakeWoodCharcoalLarge
549: 	RefillHurricaneLantern
550: 	Forge_Lantern
551: 	SewHideDress
552: 	DrySunflower
553: 	MakeChampagneGlass
554: 	SewSack
555: 	CarveSmallHandlesFromPlank
556: 	SewHidePants2
557: 	SewHideSkirt
558: 	Forge_Buckle
559: 	MakeWoodenShingleMold
560: 	MakeMolotovCocktail
561: 	CarveLongHandle
562: 	MakeToothNecklace
563: 	GatherGunpowder
564: 	CarvePlank
565: 	RipSheets
566: 	SmashBone
567: 	CarveShortBat
568: 	OpenBoxOfFishingHooks
569: 	ForgeHandguardDagger
570: 	EmptyTray
571: 	Forge_Block_From_Chunk
572: 	MakeWineGlass
573: 	MakeSawbladeHatchet
574: 	MakeImprovisedFlashlight
575: 	CraftTwine
576: 	MakeFirewoodBundle
577: 	MakeCraftedGasMaskFilter
578: 	SlicePumpkin
579: 	MakeDuctTapeHolster
580: 	MakePigTuskNecklace
581: 	CutTarp
582: 	PlacePastaInSaucepan2
583: 	FireLimestone
584: 	CastIronIngot
585: 	MakeDullBoneKnife
586: 	SawBarHalfIntoQuarters
587: 	MakeTireSandals
588: 	GetLongStick
589: 	Forge_Scrap_Sword
590: 	SewCrudeLeatherShoes
591: 	ExtractSteelFromLargeItem
592: 	MakeWoodCharcoalSmall
593: 	MakeBoneBodyArmor
594: 	AssembleLargeFramepack
595: 	OpenCanOfBeverage
596: 	MakeSinewThread
597: 	PlacePieInBakingPan
598: 	Scrap_Silver_Object
599: 	CutChicken
600: 	Make_Scrap_Shortsword
601: 	UnbundleFirewood
602: 	PlacePastaInCookingPot2
603: 	DisinfectBandage
604: 	stack_items
605: 	RefillBlowTorch
606: 	Assemble_FullMetal_Forearm_Armor
607: 	MakeWoodShinArmor
608: 	MakeCoffeeTeacup
609: 	CarveMediumHandle
610: 	Scrap_Small_Silver_Object
611: 	MakeAdvancedLargeFramepackFrame
612: 	SewLeatherGloves
613: 	forge_garden_fork_head
614: 	CarveWoodenSpoon
615: 	DryLargeLeather
616: 	SewHideSlingBag
617: 	PressBarMold
618: 	TieHeadband
619: 	SmeltMediumSteelItem
620: 	PickThread
621: 	SewTrousers
622: 	MakeRailspikeIronPipe
623: 	Get6Muffins
624: 	ShortenSleeves
625: 	SmeltSmallSteelItem
626: 	Cut_Iron_Chunks
627: 	AssembleStoneMace
628: 	MakeWoodenBucket
629: 	MakeSpikedCudgel
630: 	MakeBoneChoker
631: 	MakeJawboneAxe
632: 	CollectSunflowerSeeds
633: 	MakeMagnesiumShavings
634: 	Drill_Heading_Tool
635: 	Make_Scrap_Sword
636: 	CutTurkey
637: 	DrySage
638: 	MakeWesternBoots
639: 	MakeSquidCalamari
640: 	SmashHerbivoreSkull
641: 	MakeBodyMagazineArmor
642: 	MakeForearmBulletproofVestArmor
643: 	PressOil
644: 	Forge_Clawhammer_Head
645: 	SmashStagSkull
646: 	MakeGarbageBagLongSkirt
647: 	MakeCeramicCrucibleSmall
648: 	MakeLargeStoneAxe
649: 	ChopLargeBranch
650: 	MakeFishingNet
651: 	DryCommonMallow
652: 	MakeClayPipeSegment
653: 	SawCircularSawblade
654: 	unstack_items
655: 	OpenBoxOfPaperclip
656: 	ExtractIronBloom
657: 	CutSmallMetalSheet
658: 	FireSmokingPipe
659: 	DryMediumLeather
660: 	MakeJawboneMorningstar
661: 	MakeLongBirdSkullNecklace
662: 	FillPipe
663: 	Forge_JarLid
664: 	MakeSawPlank
665: 	MakeBowlOfBeans
666: 	InsertBattery
667: 	MakeBrickMold
668: 	DryBlackSage
669: 	SewHideSleepingBag
670: 	MakeBrakeWeapon
671: 	MakeBirdSkullEarrings
672: 	FixWithEpoxyAndRags
673: 	MakeFishingRod
674: 	MakeCrudeKnife
675: 	BoneSpikeWeapon
676: 	Assemble_Articulated_Shin_Armor
677: 	SawIntoPieces
678: 	MakeTarpShortSkirt
679: 	MakeBreadDough
680: 	DryCorn
681: 	MakeBucketOfPlaster
682: 	GetBaconBits
683: 	SewHideHoodie
684: 	ExtractSteelFromMediumItem
685: 	MakeScrapMetalGloves
686: 	MakeTarpDress
687: 	MakeCoffeeMug
688: 	CarveClaySculptingTool
689: 	DrillPlank
690: 	SmashWatermelon
691: 	MakeShinBulletproofVestArmor
692: 	MakeJawboneClub
693: 	Forge_Machete_Blade
694: 	PackSleepingBag
695: 	ReclaimFromSpear
696: 	DryBasil
697: 	MakeWoodenCrucibleMold
698: 	Scrap_Silver_Jewellery
699: 	MakeStoneMaceHead
700: 	DryFlax
701: 	OpenBoxOfBullets20
702: 	DryWheat
703: 	SewHeadwrap
704: 	RemoveFur
705: 	CanReinforceWeapon
706: 	GrindFlour
707: 	Scrap_Large_Copper
708: 	Carve8SmallHandles
709: 	Forge_Scrap_Shortsword
710: 	SmeltCopperOre
711: 	DryBarley
712: 	MakeBoneMask
713: 	DryHemp
714: 	OpenPackOfBeer
715: 	SawbladeBat
716: 	DryCilantro
717: 	OpenBottleOfBeer
718: 	Carve4SmallHandles
719: 	ForgeSmallIronBand
720: 	Make4Bowls
721: 	MakeStoneBlade
722: 	SewLeatherToolRoll
723: 	MakeLargeBoneBead
724: 	SewHideRobe
725: 	SewPillow
726: 	WeaveTwineShoes
727: 	CarveKnittingNeedles
728: 	Forge_Large_Hook
729: 	SewSkirtKnees
730: 	PackCigarettes
731: 	UnstackThreeLogs
732: 	MakeCrudeWhetstone
733: 	ForgeIronBand
734: 	Forge_Nails_From_Piece
735: 	MakeWoodCharcoal
736: 	MakeStoneDrill
737: 	BindSpear
738: 	MakeRailspikeCudgel
739: 	MakeToothbrushShiv
740: 	PlaceCakeInBakingPan
741: 	CutUpTireWithBandsaw
742: 	UntieRopeBelt
743: 	MakeSmallMetalSheet
744: 	UnpackCigaretteCarton
745: 	MakeChocolateChipCookieDough
746: 	MakeGlassPanel
747: 	CutUpLeather_Small
748: 	MakeNewspaperHat
749: 	MakeScrapCleaver
750: 	PrepareMuffins
751: 	MakeScarecrow
752: 	AssembleLargeTarpFramepack
753: 	CarveStick
754: 	DrySoybeans
755: 	ExtractSteelFromMediumIronItem
756: 	MakeTentKit
757: 	Assemble_Shoulder_Armor_Left
758: 	ReplaceSmallSawBlade
759: 	CarveWoodenMask
760: 	SewLeatherGorget
761: 	MakeTarpApron
762: 	MakeBowlOfCereal
763: 	CastSteelBarFromIron
764: 	NailSpikeSmallWeapon
765: 	MakeCageTrap
766: 	ForgeScrapIntoChunk
767: 	SewHideBraStrapless
768: 	MakeBucketOfConcrete
769: 	TanLeather
770: 	OpenCandyPackage
771: 	FireHardenSpear
772: 	SewHideTankTop
773: 	Make_Stone_Anvil
774: 	SewImprovisedBandeau
775: 	GrindCornmeal
776: 	CutBar
777: 	Forge_Wrench
778: 	MakeChocolateCookieDough
779: 	MakeImprovisedGasMask
780: 	MakeBoneFishingHook
781: 	SliceSalami
782: 	MakeSplint
783: 	MakeHotDog
784: 	Split_Silver_Bar
785: 	Forge_Fishing_Hooks
786: 	FireCeramicTeacup
787: 	MakeSheetSlingBag
788: 	Forge_Precious_Metal_Forks
789: 	UnpackSleepingBag
790: 	OpenBoxOfCannedFood
791: 	MakeTarpSlingBag
792: 	PickAramidThread
793: 	Forge_Meat_Cleaver_Blade
794: 	TarpSack
795: 	SewHideFannyBag
796: 	Scrap_Gold_Jewellery
797: 	TarpHat
798: 	CarveSpear
799: 	Cut_Iron_Bar_Quarters
800: 	SmeltMediumPlusIronItem
801: 	DismantleLongImplement
802: 	MakeCrudeWoodenTongs
803: 	MakeLargeBellows
804: 	TakeAGarbageBag
805: 	MakePancake
806: 	MakeBlockBludgeon
807: 	SewSkirtLong
808: 	MakeSpadeHeadCudgel
809: 	MakeWildGarlicPoultice
810: 	MakeGarbageBagTankTop
811: 	MakeRemoteControllerV1
812: 	CutLeatherInHalf
813: 	MakeRemoteControllerV3
814: 	MakeRemoteControllerV2
815: 	Forge_Forceps
816: 	ShortenTrousers
817: 	MakeCanPipe
818: 	NailSpikeWeapon
819: 	DismantlePowerBar
820: 	Drill_Iron_Chunk
821: 	FireClayPlate
822: 	SawDownBaseballBat
823: 	MakeCeramicTeacup
824: 	UnpackBox12
825: 	MakeSnareTrap
826: 	MakeTwoLogStack
827: 	DryPoppyPods
828: 	EmptySackClay
829: 	GetBaconRashers
830: 	SmeltSmallIronItem
831: 	SewLeatherPants
832: 	place_ammo_in_box
833: 	Forge_Smithing_Hammer_Head
834: 	ExtractSteelFromSmallItem
835: 	Forge_Small_Files
836: 	Forge_Club_Hammer_Head
837: 	TakeATissue
838: 	HeckleFlax
839: 	DryRosemary
840: 	MakeBoneShoulderArmor
841: 	MakeFlameBomb
842: 	MakeToast
843: 	MakeTarpBandeau
844: 	MakeTireShinArmor
845: 	ReplaceHacksawBlade
846: 	Forge_Heading_Tool
847: 	Scrap_Smaller_Gold_Object
848: 	Assemble_Articulated_Thigh_Armor
849: 	Forge_Metal_Helmet
850: 	SpikeArmorWelding
851: 	DryHops
852: 	SmeltLargeIronItem
853: 	SewHideSkirtLong
854: 	UnpackBoxOfAdhesiveBandages
855: 	CraftRope
856: 	RailspikeBaseballBat
857: 	RipDenimClothing
858: 	Pierce_Chunk
859: 	Forge_Small_Knife
860: 	UnpackTongueDepressors
861: 	ForgeRodIntoBar
862: 	SewHideHeadSack
863: 	CarveBucket
864: 	CollectSeeds
865: 	MakeWoodenToolbox
866: 	MakeScrapMetalShinArmor
867: 	SewBandolier
868: 	ExtractSteelFromMediumPlusIronItem
869: 	MakeShiv
870: 	OpenCannedFood
871: 	OpenHotdogPack
872: 	Forge_Codpiece
873: 	SewHideBriefs
874: 	MakeTinFoilHat
875: 	MakeSmokingPipe
876: 	Forge_Cooking_Pot
877: 	FireBrick
878: 	ScratchTicket
879: 	SewFootwrap
880: 	MakeWoodenTileMold
881: 	CanReinforceShortWeapon
882: 	PutFilterOnGasMask
883: 	LightHurricaneLantern
884: 	DryOregano
